"","CCLE","CGP"
"HT-1197","HT-1197","HT-1197"
"HT-1376","HT-1376","HT-1376"
"HT-144","HT-144","HT-144"
"HT-29","HT-29","HT-29"
"HT55","HT55","HT55"
"HuCCT1","HuCCT1","HuCCT1"
"HuH-28","HuH28","HuH-28"
"HUH-6-clone5","HuH-6","HUH-6-clone5"
"HuH-7","HuH-7","HuH-7"
"HuNS1","HuNS1","HuNS1"
"HuP-T3","HUP-T3","HuP-T3"
"HuP-T4","HUP-T4","HuP-T4"
"HUTU-80","HuTu 80","HUTU-80"
"IA-LM","IA-LM","IA-LM"
"IGR-1","IGR-1","IGR-1"
"IGROV-1","IGROV1","IGROV-1"
"IPC-298","IPC-298","IPC-298"
"IST-MES1","IST-MES1","IST-MES1"
"J82","J82","J82"
"JVM-2","JVM-2","JVM-2"
"JVM-3","JVM-3","JVM-3"
"K-562","K-562","K-562"
"K052","KO52","K052"
"KALS-1","KALS-1","KALS-1"
"KARPAS-299","KARPAS-299","KARPAS-299"
"KARPAS-422","KARPAS-422","KARPAS-422"
"KASUMI-1","KASUMI-1","KASUMI-1"
"KATOIII","KATO III","KATOIII"
"KE-37","KE-37","KE-37"
"KG-1","KG-1","KG-1"
"KLE","KLE","KLE"
"KM-H2","KM-H2","KM-H2"
"KM12","KM12","KM12"
"KMS-12-BM","KMS-12-BM","KMS-12-BM"
"KNS-42","KNS-42","KNS-42"
"KNS-62","KNS-62","KNS-62"
"KNS-81-FD","KNS-81","KNS-81-FD"
"KP-4","KP4","KP-4"
"KP-N-RT-BM-1","KP-N-RT-BM-1","KP-N-RT-BM-1"
"KP-N-S19s","KP-N-SI9s","KP-N-S19s"
"KP-N-YN","KP-N-YN","KP-N-YN"
"KS-1","KS-1","KS-1"
"KU-19-19","KU-19-19","KU-19-19"
"KU812","KU812","KU812"
"KURAMOCHI","KURAMOCHI","KURAMOCHI"
"KYSE-140","KYSE-140","KYSE-140"
"KYSE-150","KYSE-150","KYSE-150"
"KYSE-180","KYSE-180","KYSE-180"
"KYSE-270","KYSE-270","KYSE-270"
"KYSE-410","KYSE-410","KYSE-410"
"KYSE-450","KYSE-450","KYSE-450"
"KYSE-510","KYSE-510","KYSE-510"
"KYSE-520","KYSE-520","KYSE-520"
"KYSE-70","KYSE-70","KYSE-70"
"L-363","L-363","L-363"
"L-428","L-428","L-428"
"L-540","L-540","L-540"
"LAMA-84","LAMA-84","LAMA-84"
"LC-1F","LC-1F","LC-1F"
"LCLC-103H","LCLC-103H","LCLC-103H"
"LCLC-97TM1","LCLC-97TM1","LCLC-97TM1"
"LK-2","LK-2","LK-2"
"LNCaP-Clone-FGC","LNCaP clone FGC","LNCaP-Clone-FGC"
"LOUCY","Loucy","LOUCY"
"LoVo","LoVo","LoVo"
"LOXIMVI","LOX IMVI","LOXIMVI"
"LP-1","LP-1","LP-1"
"LS-1034","LS1034","LS-1034"
"LS-123","LS123","LS-123"
"LS-411N","LS411N","LS-411N"
"LS-513","LS513","LS-513"
"LU-65","LU65","LU-65"
"LU-99A","LU99","LU-99A"
"LXF-289","LXF-289","LXF-289"
"M059J","M059J","M059J"
"Malme-3M","Malme-3M","Malme-3M"
"MC116","MC116","MC116"
"MCF7","MCF7","MCF7"
"MDA-MB-134-VI","MDA-MB-134-VI","MDA-MB-134-VI"
"MDA-MB-157","MDA-MB-157","MDA-MB-157"
"MDA-MB-175-VII","MDA-MB-175-VII","MDA-MB-175-VII"
"MDA-MB-231","MDA-MB-231","MDA-MB-231"
"MDA-MB-361","MDA-MB-361","MDA-MB-361"
"MDA-MB-415","MDA-MB-415","MDA-MB-415"
"MDA-MB-435","MDA-MB-435S","MDA-MB-435"
"MDA-MB-453","MDA-MB-453","MDA-MB-453"
"MDA-MB-468","MDA-MB-468","MDA-MB-468"
"MEG-01","MEG-01","MEG-01"
"MEL-HO","MEL-HO","MEL-HO"
"MEL-JUSO","MEL-JUSO","MEL-JUSO"
"MES-SA","MES-SA","MES-SA"
"Mewo","MeWo","Mewo"
"MFE-280","MFE-280","MFE-280"
"MFE-296","MFE-296","MFE-296"
"MG-63","MG-63","MG-63"
"MHH-CALL-2","MHH-CALL-2","MHH-CALL-2"
"MHH-CALL-4","MHH-CALL-4","MHH-CALL-4"
"MHH-ES-1","MHH-ES-1","MHH-ES-1"
"MHH-NB-11","MHH-NB-11","MHH-NB-11"
"MIA-PaCa-2","MIA PaCa-2","MIA-PaCa-2"
"MJ","MJ","MJ"
"MKN1","MKN1","MKN1"
"MKN45","MKN-45","MKN45"
"MKN7","MKN7","MKN7"
"MOG-G-CCM","MOG-G-CCM","MOG-G-CCM"
"MOG-G-UVW","MOG-G-UVW","MOG-G-UVW"
"MOLT-13","MOLT-13","MOLT-13"
"MOLT-16","MOLT-16","MOLT-16"
"MOLT-4","MOLT-4","MOLT-4"
"MONO-MAC-6","MONO-MAC-6","MONO-MAC-6"
"MPP-89","MPP 89","MPP-89"
"MSTO-211H","MSTO-211H","MSTO-211H"
"MV-4-11","MV-4-11","MV-4-11"
"NALM-1","NALM-1","NALM-1"
"NALM-6","NALM-6","NALM-6"
"NB1","NB-1","NB1"
"NB4","NB-4","NB4"
"NCI-H1048","NCI-H1048","NCI-H1048"
"NCI-H1092","NCI-H1092","NCI-H1092"
"NCI-H1105","NCI-H1105","NCI-H1105"
"NCI-H1155","NCI-H1155","NCI-H1155"
"NCI-H1299","NCI-H1299","NCI-H1299"
"NCI-H1355","NCI-H1355","NCI-H1355"
"NCI-H1395","NCI-H1395","NCI-H1395"
"NCI-H1436","NCI-H1436","NCI-H1436"
"NCI-H1437","NCI-H1437","NCI-H1437"
"NCI-H146","NCI-H146","NCI-H146"
"NCI-H1563","NCI-H1563","NCI-H1563"
"NCI-H1573","NCI-H1573","NCI-H1573"
"NCI-H1581","NCI-H1581","NCI-H1581"
"NCI-H1618","NCI-H1618","NCI-H1618"
"NCI-H1623","NCI-H1623","NCI-H1623"
"NCI-H1648","NCI-H1648","NCI-H1648"
"NCI-H1650","NCI-H1650","NCI-H1650"
"NCI-H1651","NCI-H1651","NCI-H1651"
"NCI-H1666","NCI-H1666","NCI-H1666"
"NCI-H1693","NCI-H1693","NCI-H1693"
"NCI-H1694","NCI-H1694","NCI-H1694"
"NCI-H1703","NCI-H1703","NCI-H1703"
"NCI-H1734","NCI-H1734","NCI-H1734"
"NCI-H1755","NCI-H1755","NCI-H1755"
"NCI-H1792","NCI-H1792","NCI-H1792"
"NCI-H1793","NCI-H1793","NCI-H1793"
"NCI-H1838","NCI-H1838","NCI-H1838"
"NCI-H1930","NCI-H1930","NCI-H1930"
"NCI-H1963","NCI-H1963","NCI-H1963"
"NCI-H1975","NCI-H1975","NCI-H1975"
"NCI-H2009","NCI-H2009","NCI-H2009"
"NCI-H2029","NCI-H2029","NCI-H2029"
"NCI-H2030","NCI-H2030","NCI-H2030"
"NCI-H2052","NCI-H2052","NCI-H2052"
"NCI-H2081","NCI-H2081","NCI-H2081"
"NCI-H2087","NCI-H2087","NCI-H2087"
"NCI-H209","NCI-H209","NCI-H209"
"NCI-H2122","NCI-H2122","NCI-H2122"
"NCI-H2126","NCI-H2126","NCI-H2126"
"NCI-H2141","NCI-H2141","NCI-H2141"
"NCI-H2170","NCI-H2170","NCI-H2170"
"NCI-H2171","NCI-H2171","NCI-H2171"
"NCI-H2196","NCI-H2196","NCI-H2196"
"NCI-H2227","NCI-H2227","NCI-H2227"
"NCI-H2228","NCI-H2228","NCI-H2228"
"NCI-H226","NCI-H226","NCI-H226"
"NCI-H2291","NCI-H2291","NCI-H2291"
"NCI-H23","NCI-H23","NCI-H23"
"NCI-H2342","NCI-H2342","NCI-H2342"
"NCI-H2347","NCI-H2347","NCI-H2347"
"NCI-H2405","NCI-H2405","NCI-H2405"
"NCI-H2452","NCI-H2452","NCI-H2452"
"NCI-H28","NCI-H28","NCI-H28"
"NCI-H292","NCI-H292","NCI-H292"
"NCI-H358","NCI-H358","NCI-H358"
"NCI-H441","NCI-H441","NCI-H441"
"NCI-H446","NCI-H446","NCI-H446"
"NCI-H460","NCI-H460","NCI-H460"
"NCI-H508","NCI-H508","NCI-H508"
"NCI-H510A","NCI-H510","NCI-H510A"
"NCI-H520","NCI-H520","NCI-H520"
"NCI-H522","NCI-H522","NCI-H522"
"NCI-H524","NCI-H524","NCI-H524"
"NCI-H526","NCI-H526","NCI-H526"
"NCI-H596","NCI-H596","NCI-H596"
"NCI-H650","NCI-H650","NCI-H650"
"NCI-H661","NCI-H661","NCI-H661"
"NCI-H69","NCI-H69","NCI-H69"
"NCI-H716","NCI-H716","NCI-H716"
"NCI-H727","NCI-H727","NCI-H727"
"NCI-H747","NCI-H747","NCI-H747"
"NCI-H810","NCI-H810","NCI-H810"
"NCI-H82","NCI-H82","NCI-H82"
"NCI-H838","NCI-H838","NCI-H838"
"NCI-H889","NCI-H889","NCI-H889"
"NCI-N87","NCI-N87","NCI-N87"
"NCI-SNU-1","SNU-1","NCI-SNU-1"
"NCI-SNU-16","SNU-16","NCI-SNU-16"
"NCI-SNU-5","SNU-5","NCI-SNU-5"
"NH-6","NH-6","NH-6"
"NMC-G1","NMC-G1","NMC-G1"
"NOMO-1","NOMO-1","NOMO-1"
"NUGC-3","NUGC-3","NUGC-3"
"OAW-28","OAW28","OAW-28"
"OAW-42","OAW42","OAW-42"
"OC-314","OC 314","OC-314"
"OCI-AML2","OCI-AML2","OCI-AML2"
"OE19","OE19","OE19"
"OE33","OE33","OE33"
"ONS-76","ONS-76","ONS-76"
"OPM-2","OPM-2","OPM-2"
"OS-RC-2","OS-RC-2","OS-RC-2"
"OVCAR-3","NIH:OVCAR-3","OVCAR-3"
"OVCAR-4","OVCAR-4","OVCAR-4"
"OVCAR-8","OVCAR-8","OVCAR-8"
"P12-ICHIKAWA","P12-ICHIKAWA","P12-ICHIKAWA"
"P31-FUJ","P31/FUJ","P31-FUJ"
"PANC-03-27","Panc 03.27","PANC-03-27"
"PANC-08-13","Panc 08.13","PANC-08-13"
"PANC-10-05","Panc 10.05","PANC-10-05"
"PC-14","PC-14","PC-14"
"PC-3","PC-3","PC-3"
"PF-382","PF-382","PF-382"
"PLC-PRF-5","PLC/PRF/5","PLC-PRF-5"
"PSN1","PSN1","PSN1"
"Raji","Raji","Raji"
"RCC10RGB","RCC10RGB","RCC10RGB"
"RCM-1","RCM-1","RCM-1"
"RD","RD","RD"
"REH","Reh","REH"
"RERF-LC-MS","RERF-LC-MS","RERF-LC-MS"
"RH-18","RH-18","RH-18"
"RKO","RKO","RKO"
"RL","RL","RL"
"RL95-2","RL95-2","RL95-2"
"RMG-I","RMG-I","RMG-I"
"RPMI-7951","RPMI-7951","RPMI-7951"
"RPMI-8226","RPMI 8226","RPMI-8226"
"RPMI-8402","RPMI-8402","RPMI-8402"
"RS4-11","RS4;11","RS4-11"
"RT-112","RT-112","RT-112"
"RT4","RT4","RT4"
"RVH-421","RVH-421","RVH-421"
"S-117","S-117","S-117"
"Saos-2","Saos-2","Saos-2"
"SBC-5","SBC-5","SBC-5"
"SCC-15","SCC-15","SCC-15"
"SCC-25","SCC-25","SCC-25"
"SCC-4","SCC-4","SCC-4"
"SCC-9","SCC-9","SCC-9"
"SCLC-21H","SCLC-21H","SCLC-21H"
"SF126","SF126","SF126"
"SF295","SF-295","SF295"
"SH-4","SH-4","SH-4"
"SHP-77","SHP-77","SHP-77"
"SIG-M5","SIG-M5","SIG-M5"
"SIMA","SIMA","SIMA"
"SJRH30","SJRH30","SJRH30"
"SJSA-1","SJSA-1","SJSA-1"
"SK-CO-1","SK-CO-1","SK-CO-1"
"SK-HEP-1","SK-HEP-1","SK-HEP-1"
"SK-LMS-1","SK-LMS-1","SK-LMS-1"
"SK-LU-1","SK-LU-1","SK-LU-1"
"SK-MEL-1","SK-MEL-1","SK-MEL-1"
"SK-MEL-2","SK-MEL-2","SK-MEL-2"
"SK-MEL-24","SK-MEL-24","SK-MEL-24"
"SK-MEL-28","SK-MEL-28","SK-MEL-28"
"SK-MEL-3","SK-MEL-3","SK-MEL-3"
"SK-MEL-30","SK-MEL-30","SK-MEL-30"
"SK-MEL-5","SK-MEL-5","SK-MEL-5"
"SK-MES-1","SK-MES-1","SK-MES-1"
"SK-MM-2","SK-MM-2","SK-MM-2"
"SK-N-AS","SK-N-AS","SK-N-AS"
"SK-N-DZ","SK-N-DZ","SK-N-DZ"
"SK-N-FI","SK-N-FI","SK-N-FI"
"SK-OV-3","SK-OV-3","SK-OV-3"
"SK-UT-1","SK-UT-1","SK-UT-1"
"SKM-1","SKM-1","SKM-1"
"SNB19","SNB-19","SNB19"
"SNG-M","SNG-M","SNG-M"
"SNU-387","SNU-387","SNU-387"
"SNU-423","SNU-423","SNU-423"
"SNU-449","SNU-449","SNU-449"
"SNU-475","SNU-475","SNU-475"
"SNU-C1","SNU-C1","SNU-C1"
"SNU-C2B","SNU-C2B","SNU-C2B"
"SR","SR-786","SR"
"ST486","ST486","ST486"
"SU-DHL-1","SU-DHL-1","SU-DHL-1"
"SUP-T1","SUP-T1","SUP-T1"
"SW1088","SW 1088","SW1088"
"SW1116","SW1116","SW1116"
"SW1417","SW1417","SW1417"
"SW1463","SW1463","SW1463"
"SW1573","SW 1573","SW1573"
"SW1710","SW-1710","SW1710"
"SW1783","SW 1783","SW1783"
"SW1990","SW 1990","SW1990"
"SW403","SW403","SW403"
"SW48","SW48","SW48"
"SW620","SW620","SW620"
"SW780","SW 780","SW780"
"SW837","SW837","SW837"
"SW900","SW 900","SW900"
"SW948","SW948","SW948"
"T-24","T24","T-24"
"T47D","T-47D","T47D"
"T84","T84","T84"
"T98G","T98G","T98G"
"TALL-1","TALL-1","TALL-1"
"TCCSUP","TCCSUP","TCCSUP"
"TE-1","TE-1","TE-1"
"TE-10","TE-10","TE-10"
"TE-11","TE-11","TE-11"
"TE-15","TE-15","TE-15"
"TE-5","TE-5","TE-5"
"TE-6","TE-6","TE-6"
"TE-8","TE-8","TE-8"
"TE-9","TE-9","TE-9"
"TGBC11TKB","TGBC11TKB","TGBC11TKB"
"THP-1","THP-1","THP-1"
"TI-73","T1-73","TI-73"
"TT","TT","TT"
"TYK-nu","TYK-nu","TYK-nu"
"U-118-MG","U-118 MG","U-118-MG"
"U-2-OS","U-2 OS","U-2-OS"
"U-266","U266B1","U-266"
"U-87-MG","U-87 MG","U-87-MG"
"U251","U-251 MG","U251"
"UACC-257","UACC-257","UACC-257"
"UACC-62","UACC-62","UACC-62"
"UACC-812","UACC-812","UACC-812"
"UACC-893","UACC-893","UACC-893"
"UM-UC-3","UM-UC-3","UM-UC-3"
"VM-CUB-1","VM-CUB1","VM-CUB-1"
"VMRC-RCZ","VMRC-RCZ","VMRC-RCZ"
"WM-115","WM-115","WM-115"
"YAPC","YAPC","YAPC"
"YH-13","YH-13","YH-13"
"YKG-1","YKG1","YKG-1"
"ZR-75-30","ZR-75-30","ZR-75-30"
