"CGP.cell.line","CCLE.cell.line"
"PANC-10-05","Panc 10.05"
"PANC-08-13","Panc 08.13"
"LS-123","LS123"
"DU-145","DU 145"
"U-118-MG","U-118 MG"
"HCT-116","HCT 116"
"PANC-03-27","Panc 03.27"
"LS-411N","LS411N"
"U-2-OS","U-2 OS"
"NCI-SNU-5","SNU-5"
"COLO-741","COLO 741"
"LS-513","LS513"
"KP-4","KP4"
"Hs-578-T","Hs 578T"
"YKG-1","YKG1"
"OC-314","OC 314"
"HuP-T3","HUP-T3"
"MPP-89","MPP 89"
"KNS-81-FD","KNS-81"
"FADU","FaDu"
"NCI-H510A","NCI-H510"
"NCI-SNU-16","SNU-16"
"TI-73","T1-73"
"T47D","T-47D"
"OAW-42","OAW42"
"A704","A-704"
"LS-1034","LS1034"
"U-87-MG","U-87 MG"
"CAL-27","CAL 27"
"RPMI-8226","RPMI 8226"
"VM-CUB-1","VM-CUB1"
"SW1710","SW-1710"
"PLC-PRF-5","PLC/PRF/5"
"COLO-205","COLO 205"
"HuH-28","HuH28"
"DMS-79","DMS 79"
"SNB19","SNB-19"
"MIA-PaCa-2","MIA PaCa-2"
"DMS-53","DMS 53"
"23132-87","23132/87"
"A673","A-673"
"A498","A-498"
"LU-65","LU65"
"OAW-28","OAW28"
"LNCaP-Clone-FGC","LNCaP clone FGC"
"MKN45","MKN-45"
"CAPAN-1","Capan-1"
"SW780","SW 780"
"SW1783","SW 1783"
"DMS-273","DMS 273"
"COLO-668","COLO 668"
"SW1088","SW 1088"
"DMS-153","DMS 153"
"SW900","SW 900"
"A204","A-204"
"SW1573","SW 1573"
"COLO-792","COLO 792"
"OVCAR-3","NIH:OVCAR-3"
"D-283MED","D283 Med"
"A375","A-375"
"IGROV-1","IGROV1"
"Detroit562","Detroit 562"
"HUTU-80","HuTu 80"
"KATOIII","KATO III"
"HUH-6-clone5","HuH-6"
"SF295","SF-295"
"LOXIMVI","LOX IMVI"
"LU-99A","LU99"
"KP-N-S19s","KP-N-SI9s"
"BCPAP","B-CPAP"
"786-0","786-O"
"P31-FUJ","P31/FUJ"
"K052","KO52"
"HuP-T4","HUP-T4"
"AN3-CA","AN3 CA"
"DU-4475","DU4475"
"U-266","U266B1"
"Mewo","MeWo"
"DMS-114","DMS 114"
"NB4","NB-4"
"HEC-1","HEC-1-B"
"22RV1","22Rv1"
"NB1","NB-1"
"T-24","T24"
"NCI-SNU-1","SNU-1"
"A253","A-253"
"LOUCY","Loucy"
"SR","SR-786"
"SW1990","SW 1990"
"RS4-11","RS4;11"
"COLO-320-HSR","COLO-320"
"A3-KAW","A3/KAW"
"U251","U-251 MG"
"CAKI-1","Caki-1"
"COLO-829","COLO 829"
